# WELL TRACE FROM PETREL
# WELL NAME: DEL-GT-02-S2
# WELL HEAD X-COORDINATE: 85099.827 (m)
# WELL HEAD Y-COORDINATE: 446162.627 (m)
#====================================================
MD	X	Y	Z
1857	85218.3740041772	446759.188364337	1654.85560203163
1870.8	85219.4888971329	446768.435085747	1665.03815398613
1884.6	85220.6105069513	446777.723873576	1675.18160126067
1898.5	85221.7514914649	446787.121183176	1685.35939983486
1912.4	85222.9082045266	446796.558545072	1695.49828419494
1919.35	85223.469222697	446801.289697394	1700.55803239553
1926.3	85223.9876926339	446806.025701247	1705.61778059611
1940.2	85224.9836834847	446815.513805543	1715.72632954948
1954.1	85225.9828961204	446825.024607057	1725.81320507876
1967.9	85226.9553292648	446834.453157237	1735.84242952401
1981.7	85227.8853619742	446843.831320113	1745.92279420364
1995.55	85228.7838005099	446853.186407919	1756.09561221305
2009.4	85229.65486218	446862.477912838	1766.32891192719
2016.2	85230.0785849111	446867.01347888	1771.37732888984
2023	85230.5078634626	446871.527686079	1776.44438821806
2030	85230.9555854231	446876.1523457	1781.67978441769
2037	85231.409222942	446880.754353466	1786.9345981245
2050.85	85232.3156748856	446889.804493553	1797.37898176474
2064.7	85233.2282054119	446898.788808474	1807.87952250742
2073.96666666667	85233.8405892118	446904.760774949	1814.93835916147
2083.23333333333	85234.4525801549	446910.6984482	1822.02610388756
2092.5	85235.0641639016	446916.601689113	1829.14259061642
2099.25	85235.5071698684	446920.875688803	1834.34805202422
2106	85235.9455069177	446925.122712835	1839.57594184205
2113	85236.3951765322	446929.498225644	1845.02114287829
2120	85236.8398830018	446933.844089018	1850.49044530565
2133.9	85237.709568119	446942.431685152	1861.38529223674
2147.8	85238.5623727135	446950.994197336	1872.3011987035
2161.75	85239.3743559962	446959.557509396	1883.28315147493
2175.7	85240.1154868282	446968.08582145	1894.2973069676
2184.86666666667	85240.559976541	446973.66132347	1901.55953126288
2194.03333333333	85240.9659969474	446979.202759907	1908.85003022306
2203.2	85241.3335314242	446984.709903892	1916.16850537126
2212.96666666667	85241.6380230743	446990.528705034	1924.0062660706
2222.73333333333	85241.809285868	446996.285607432	1931.8936289373
2232.5	85241.8472766343	447001.979159924	1939.8286057633
2241.73333333333	85241.7945503577	447007.363119089	1947.32929919109
2250.96666666667	85241.6905493437	447012.810141504	1954.78377737177
2260.2	85241.5352842585	447018.319668577	1962.19127585233
2269.46666666667	85241.3619184211	447023.933783627	1969.56131104005
2278.73333333333	85241.2049354739	447029.654142164	1976.84955302298
2288	85241.0643687782	447035.479528593	1984.05445302249
2297.23333333333	85240.951933782	447041.395287091	1991.14241840292
2306.46666666667	85240.8783935569	447047.428694536	1998.13101698871
2315.7	85240.843769868	447053.577965378	2005.01818056412
2324.93333333333	85240.8134733052	447059.804305668	2011.83589230603
2334.16666666667	85240.7529068258	447066.069944706	2018.61729804603
2343.4	85240.6620731154	447072.374604755	2025.3620971826
2357.3	85240.4862981005	447081.896865751	2035.48605636785
2371.2	85240.2780196801	447091.422888544	2045.60585874694
2385.1	85240.0757663444	447100.963580633	2055.71194453978
2399	85239.9180679296	447110.529780469	2065.79468109203
2408.23333333333	85239.832843371	447116.941421715	2072.43783717548
2417.46666666667	85239.7570920877	447123.449498561	2078.98665202001
2426.7	85239.6908303338	447130.052614695	2085.43972058029
2440.6	85239.5633615118	447140.041478801	2095.10426850712
2454.5	85239.3661619529	447149.985244078	2104.81405179672
2463.76666666667	85239.2376210433	447156.595366922	2111.30676447468
2473.03333333333	85239.161417104	447163.19750452	2117.80842201826
2482.3	85239.1375526931	447169.791435188	2124.31880612257
2496.25	85239.1199726993	447179.692288468	2134.14545335057
2510.2	85239.0602909958	447189.554313519	2144.01090786703
2524.05	85238.953702947	447199.325975353	2153.8248742828
2537.9	85238.7942468264	447209.096917448	2163.63884069857
2547.16666666667	85238.6515851226	447215.618944867	2170.21975931432
2556.43333333333	85238.4723510599	447222.110459282	2176.82989140227
2565.7	85238.256551155	447228.571224671	2183.4689966164
2580	85237.8953265294	447238.517408296	2193.73646564436
